antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_B_Copiers'})",frozenset({'item_C_Copiers'}),0.0103359173126615,0.15633074935400518,0.0103359173126615,1.0,6.396694214876033,0.008720095613912092,inf,0.8524804177545692
"frozenset({'item_C_Copiers', 'item_F_Copiers'})","frozenset({'item_D_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_C_Copiers', 'item_B_Copiers'})","frozenset({'item_D_Copiers', 'item_F_Copiers'})",0.15633074935400518,0.0103359173126615,0.0103359173126615,0.06611570247933884,6.396694214876033,0.008720095613912092,1.0597287965059112,1.0
"frozenset({'item_C_Copiers', 'item_D_Copiers'})","frozenset({'item_F_Copiers', 'item_B_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
"frozenset({'item_F_Copiers', 'item_B_Copiers'})","frozenset({'item_C_Copiers', 'item_D_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
"frozenset({'item_D_Copiers', 'item_F_Copiers'})","frozenset({'item_C_Copiers', 'item_B_Copiers'})",0.0103359173126615,0.15633074935400518,0.0103359173126615,1.0,6.396694214876033,0.008720095613912092,inf,0.8524804177545692
"frozenset({'item_D_Copiers', 'item_B_Copiers'})","frozenset({'item_C_Copiers', 'item_F_Copiers'})",0.09043927648578812,0.0103359173126615,0.0103359173126615,0.11428571428571428,11.057142857142857,0.009401144429087462,1.1173626740018339,1.0
frozenset({'item_C_Copiers'}),"frozenset({'item_D_Copiers', 'item_F_Copiers', 'item_B_Copiers'})",0.15633074935400518,0.0103359173126615,0.0103359173126615,0.06611570247933884,6.396694214876033,0.008720095613912092,1.0597287965059112,1.0
frozenset({'item_F_Copiers'}),"frozenset({'item_C_Copiers', 'item_B_Copiers', 'item_D_Copiers'})",0.0103359173126615,0.09043927648578812,0.0103359173126615,1.0,11.057142857142857,0.009401144429087462,inf,0.9190600522193212
frozenset({'item_B_Copiers'}),"frozenset({'item_C_Copiers', 'item_F_Copiers', 'item_D_Copiers'})",0.24289405684754523,0.0103359173126615,0.0103359173126615,0.0425531914893617,4.117021276595745,0.00782538442534837,1.033649153028998,1.0000000000000002
